participantId,trialId,trialOrder,responseId,status,rejectReason,rejectTime,percentComplete,description,instruction,responsePrompt,answer,correctAnswer,responseMin,responseMax,startTime,endTime,duration,cleanedDuration,configHash
0900769b-476f-437d-b1ff-88ffd1d66609,participantTags,null,participantTags,undefined,undefined,undefined,undefined,undefined,undefined,undefined,[],undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
0900769b-476f-437d-b1ff-88ffd1d66609,1-question,1,vertical_bar_1,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,46,46,0,100,2025-02-23T22:46:29.034Z,2025-02-23T22:46:37.828Z,8794,8794,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,2-question,2,vertical_bar_2,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,55,54,0,100,2025-02-23T22:46:37.956Z,2025-02-23T22:46:44.458Z,6502,6502,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,3-question,3,vertical_bar_3,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,49,49,0,100,2025-02-23T22:46:44.592Z,2025-02-23T22:46:50.701Z,6109,6109,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,4-question,4,vertical_bar_4,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,52,62,0,100,2025-02-23T22:46:50.819Z,2025-02-23T22:46:56.794Z,5975,5975,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,5-question,5,vertical_bar_5,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,26,26,0,100,2025-02-23T22:46:56.887Z,2025-02-23T22:47:02.918Z,6031,6031,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,6-question,6,vertical_bar_6,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,65,65,0,100,2025-02-23T22:47:03.001Z,2025-02-23T22:47:09.175Z,6174,6174,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,7-question,7,vertical_bar_7,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,66,66,0,100,2025-02-23T22:47:09.267Z,2025-02-23T22:47:14.282Z,5015,5015,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,8-question,8,vertical_bar_8,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,55,56,0,100,2025-02-23T22:47:14.370Z,2025-02-23T22:47:20.285Z,5915,5915,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
0900769b-476f-437d-b1ff-88ffd1d66609,9-question,9,vertical_bar_9,in progress,undefined,undefined,100,undefined,undefined,What is the value of the 5th bar?,34,35,0,100,2025-02-23T22:47:20.380Z,2025-02-23T22:47:25.984Z,5604,5604,b7fc42a100481c539bc6a338de835be537d8b7b9f814e461da79c0329ed005ef
